KPI,Description
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_W1,Total financial revenue from roaming data services captured in the Customer 360 profile specifically for the Week 1 timeframe.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_W1,Use Week 1 roaming data revenue to segment premium subscribers for international data pack promotions within the telecom billing system.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_W1,Metric tracking the sum of roaming data revenue during Week 1 to evaluate subscriber spending patterns on the network.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_W1,How much roaming data revenue did this subscriber generate during the Week 1 period according to the revenue assurance records?
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_W1,What was the customer's total roaming data revenue for Week 1 in the Customer 360 database?
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_M1,Total finance-recognized IDD revenue for Month 1 (M1) stored in the Customer 360 subscriber profile for billing reconciliation.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_M1,Identify high-value international callers by analyzing total finance-recognized IDD revenue from the most recent month (M1) in the CRM.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_M1,This metric calculates the total finance-validated revenue for IDD usage during Month 1 (M1) to segment Customer 360 profiles.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_M1,Show me the total finance-recognized revenue for international direct dialing (IDD) during Month 1 (M1) from the billing system.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_M1,What was the total finance-recognized IDD revenue for this customer in Month 1 (M1) according to Customer 360?
CUST_360_VAS_REVENUE_FINANCE_REV_M3,This Customer 360 attribute captures finance-recognized revenue from Value-Added Services (VAS) specifically for the third most recent month (M3).
CUST_360_VAS_REVENUE_FINANCE_REV_M3,Evaluate subscriber engagement with premium content by reviewing finance-validated VAS revenue from the Month 3 (M3) billing cycle.
CUST_360_VAS_REVENUE_FINANCE_REV_M3,Analyze historical revenue trends by looking at finance-recognized VAS earnings from the Month 3 (M3) period in the subscriber profile.
CUST_360_VAS_REVENUE_FINANCE_REV_M3,What is the total finance-recognized revenue from value-added services recorded in the billing system for Month 3 (M3)?
CUST_360_VAS_REVENUE_FINANCE_REV_M3,Show the finance-recognized VAS revenue for the third most recent month (M3) from the Customer 360 database.
CUST_360_AVG_DAYS_RECH,This Customer 360 metric calculates the average number of days between consecutive recharge events for a subscriber over a historical period.
CUST_360_AVG_DAYS_RECH,Identify prepaid customer loyalty by monitoring the average days between recharge events in the billing system during a historical period.
CUST_360_AVG_DAYS_RECH,Analyze the average days between recharge transactions to understand the typical top-up cadence for prepaid subscribers over a historical period.
CUST_360_AVG_DAYS_RECH,What is the average number of days between recharge payments for a prepaid customer within the Customer 360 historical period?
CUST_360_AVG_DAYS_RECH,What is the average recharge gap in days for prepaid subscribers in Customer 360 over the historical period?
GCC_ROAMING_LATCH_LAST_60_DAYS_STATUS,This Customer 360 status flag indicates if a subscriber latched to a GCC roaming network within the last 60 days.
GCC_ROAMING_LATCH_LAST_60_DAYS_STATUS,Identify subscribers for targeted travel campaigns based on their GCC roaming network latch status during the last 60 days.
GCC_ROAMING_LATCH_LAST_60_DAYS_STATUS,Analyze regional travel patterns in the subscriber profile by checking the status of roaming network latches in GCC countries over the past 60 days.
GCC_ROAMING_LATCH_LAST_60_DAYS_STATUS,Filter the billing database for the status of users who latched onto a GCC roaming network in the last 60 days.
GCC_ROAMING_LATCH_LAST_60_DAYS_STATUS,Which subscribers in our CRM have a GCC roaming latch status recorded for the last 60 days?
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_8W_AVG,This Customer 360 metric calculates the 8-week rolling average of finance-recognized revenue derived from a subscriber's roaming SMS usage.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_8W_AVG,Identify high-value international travelers by tracking their average finance-recognized roaming SMS revenue over the past 8 weeks within the billing system.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_8W_AVG,Analyze customer spend trends using the 8W average of finance-validated roaming SMS revenue stored in the internal subscriber profile.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_8W_AVG,What is the average finance-recognized revenue for roaming SMS messages in billing records over the last 8 weeks?
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_8W_AVG,Show the average 8-week roaming SMS revenue for this subscriber based on finance-approved Customer 360 billing data.
CUST_360_CREDIT_RATING,The current credit rating score in the Customer 360 database indicates a subscriber's financial reliability based on historical billing behavior.
CUST_360_CREDIT_RATING,Leverage the latest credit rating from the CRM to assess risk levels for high-value telecom service decisions and device financing.
CUST_360_CREDIT_RATING,"This metric tracks the current creditworthiness rating in the subscriber profile, enabling segmentation based on payment reliability and financial risk."
CUST_360_CREDIT_RATING,What is the current CUST_360_CREDIT_RATING for this customer to determine their eligibility for premium postpaid telecom plans?
CUST_360_CREDIT_RATING,Show the latest credit rating from the Customer 360 profile to evaluate the subscriber's financial trustworthiness and payment risk.
CUST_360_RECHARGE_DORMANCY_30D,This Customer 360 metric calculates the total days since the last recharge event recorded within the previous 30 days window.
CUST_360_RECHARGE_DORMANCY_30D,Identify inactive subscribers by tracking the number of days since their last recharge during the past 30 days for CRM campaigns.
CUST_360_RECHARGE_DORMANCY_30D,A recharge dormancy indicator in the subscriber profile measuring the gap in days since the most recent recharge over 30 days.
CUST_360_RECHARGE_DORMANCY_30D,Show me the count of days since the last recharge for each customer in the billing system over the last 30 days.
CUST_360_RECHARGE_DORMANCY_30D,What is the recharge dormancy in days for subscribers in the Customer 360 profile during the last 30 days?
CUST_360_NEW_PLAN_NAME,This Customer 360 attribute stores the specific new plan name assigned to the subscriber profile after their most recent BSS update.
CUST_360_NEW_PLAN_NAME,Identify the new plan name for subscribers who recently upgraded to optimize campaign targeting and revenue assurance within the CRM.
CUST_360_NEW_PLAN_NAME,Analyze the latest new plan name for each subscriber to track the success of recent telecom plan migrations and activations.
CUST_360_NEW_PLAN_NAME,Show the name of the new plan for subscribers in the Customer 360 database following their most recent billing system change.
CUST_360_NEW_PLAN_NAME,What is the new plan name for this customer in the subscriber profile after their recent plan activation?
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_7D,Total finance-recognized roaming revenue aggregated over the last 7 days from the Customer 360 billing records for each subscriber.
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_7D,Evaluate subscriber profitability by calculating total roaming revenue from international usage over the last 7 days for finance assurance.
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_7D,Analytical view of the total finance-recognized revenue generated from roaming services during the last 7 days in the subscriber profile.
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_7D,Search for the total finance-recognized revenue earned from a subscriber's roaming activity in the billing system during the previous 7 days.
CUST_360_TOTAL_ROAMING_REV_FINANCE_REV_7D,What is the total roaming revenue for this subscriber over the last 7 days according to finance records?
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D,This Customer 360 field calculates the total finance-recognized revenue from on-net and off-net usage over the last 30 days.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D,Identify high-value subscribers by analyzing their combined on-net and off-net billing revenue generated during the past 30 days for campaign targeting.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D,A metric measuring the 30-day sum of finance-validated revenue across on-net and off-net services to segment the subscriber profile by total spend.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D,Search for the total finance-recognized revenue for both on-net and off-net activities per customer from the last 30 days in billing.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_30D,What is the total 30-day finance revenue for on-net and off-net services in the subscriber profile?
CUST_360_IDD_SAUDI_ARABIA_CALLING_FLAG_90D,A binary flag in the Customer 360 profile indicating if a subscriber made IDD calls to Saudi Arabia within the last 90 days.
CUST_360_IDD_SAUDI_ARABIA_CALLING_FLAG_90D,Use this indicator for CRM campaigns targeting subscribers who have actively used IDD services to call Saudi Arabia over the past 90 days.
CUST_360_IDD_SAUDI_ARABIA_CALLING_FLAG_90D,This Customer 360 status indicator identifies IDD usage patterns for voice calls to Saudi Arabia during a rolling 90-day window for segmentation.
CUST_360_IDD_SAUDI_ARABIA_CALLING_FLAG_90D,Which subscribers in our billing system have a positive flag for making international direct dialing calls to Saudi Arabia in the last 3 months?
CUST_360_IDD_SAUDI_ARABIA_CALLING_FLAG_90D,Show me the flag for customers who made IDD calls to Saudi Arabia in the last 90 days from their subscriber profile.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_M2,Finance-recognized SMS roaming revenue for the second most recent month (M2) stored within the Customer 360 subscriber profile system.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_M2,Evaluate international usage by tracking finance-validated revenue from SMS sent on roaming networks during Month 2 (M2) for billing and campaign targeting.
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_M2,Analyze the finance-recognized roaming SMS revenue from Month 2 (M2) to identify high-value international travelers in the CRM analytics platform.
